subset_name,config_name,feature,importance
distinctive_top5,compact_no_context_no_phase,num__gear_mean,1.0360908950775396
distinctive_top5,compact_no_context_no_phase,num__throttle_mid_frac,0.8871612890336825
distinctive_top5,compact_no_context_no_phase,num__throttle_diff_std,0.8112157459841504
distinctive_top5,compact_no_context_no_phase,num__throttle_diff_abs_mean,0.7104222802943901
distinctive_top5,compact_no_context_no_phase,num__throttle_zero_frac,0.7080513687032115
distinctive_top5,compact_no_context_no_phase,num__throttle_p10,0.5591860295064167
distinctive_top5,compact_no_context_no_phase,num__rpm_diff_std,0.5277798207038434
distinctive_top5,compact_no_context_no_phase,num__throttle_full_frac,0.5175211564383224
distinctive_top5,compact_no_context_no_phase,num__throttle_std,0.5105246979584208
distinctive_top5,compact_no_context_no_phase,num__rpm_diff_abs_mean,0.49202018739480424
distinctive_top5,compact_no_context_no_phase,num__throttle_diff_abs_max,0.49047919478741536
distinctive_top5,compact_no_context_no_phase,num__rpm_median,0.48421197326447657
distinctive_top5,compact_no_context_no_phase,num__brake_on_count,0.44810581187484166
distinctive_top5,compact_no_context_no_phase,num__brake_diff_std,0.4402955667812744
distinctive_top5,compact_no_context_no_phase,num__speed_std,0.42969145033113537
distinctive_top5,compact_no_context_no_phase,num__throttle_p25,0.4278825004591245
distinctive_top5,compact_no_context_no_phase,num__rpm_mean,0.4203643960386204
distinctive_top5,compact_no_context_no_phase,num__rpm_max,0.41964836018948903
distinctive_top5,compact_no_context_no_phase,num__brake_diff_abs_mean,0.4158769640697614
distinctive_top5,compact_no_context_no_phase,num__gear_median,0.4074288827940101
distinctive_top5,compact_no_context_no_phase,num__rpm_min,0.3907453054279043
distinctive_top5,compact_no_context_no_phase,num__speed_diff_std,0.377373819214242
distinctive_top5,compact_no_context_no_phase,num__brake_mean,0.3772042545504829
distinctive_top5,compact_no_context_no_phase,num__brake_active_frac,0.3772042545504829
distinctive_top5,compact_no_context_no_phase,num__throttle_low_frac,0.37548922596946455
distinctive_top5,compact_no_context_no_phase,num__throttle_high_frac,0.34946958840977704
distinctive_top5,compact_no_context_no_phase,num__gear_std,0.3484172815502316
distinctive_top5,compact_no_context_no_phase,num__gear_change_count,0.3031841731384449
distinctive_top5,compact_no_context_no_phase,num__throttle_median,0.2923051075866708
distinctive_top5,compact_no_context_no_phase,num__speed_p10,0.28833623521309937
distinctive_top5,compact_no_context_no_phase,num__rpm_std,0.28090205133666185
distinctive_top5,compact_no_context_no_phase,num__gear_min,0.2733108134941347
distinctive_top5,compact_no_context_no_phase,num__throttle_max,0.2730247679411686
distinctive_top5,compact_no_context_no_phase,num__speed_median,0.26606316725607787
distinctive_top5,compact_no_context_no_phase,num__throttle_mean,0.2620616821778977
distinctive_top5,compact_no_context_no_phase,num__rpm_cv,0.2579038792906974
distinctive_top5,compact_no_context_no_phase,num__brake_std,0.24998091094060282
distinctive_top5,compact_no_context_no_phase,num__throttle_p75,0.24754838804659132
distinctive_top5,compact_no_context_no_phase,num__rpm_diff_mean,0.23548591210634434
distinctive_top5,compact_no_context_no_phase,num__speed_cv,0.22625000539147294
distinctive_top5,compact_no_context_no_phase,num__rpm_diff_abs_max,0.21057450848595288
distinctive_top5,compact_no_context_no_phase,num__throttle_diff_mean,0.200125679967807
distinctive_top5,compact_no_context_no_phase,num__speed_diff_abs_mean,0.19460026949753112
distinctive_top5,compact_no_context_no_phase,num__speed_p25,0.1823928244058189
distinctive_top5,compact_no_context_no_phase,num__gear_max,0.1736391637641918
distinctive_top5,compact_no_context_no_phase,num__speed_min,0.17131183630064656
distinctive_top5,compact_no_context_no_phase,num__speed_p75,0.16423031214219241
distinctive_top5,compact_no_context_no_phase,num__speed_diff_abs_max,0.14570536053807714
distinctive_top5,compact_no_context_no_phase,num__speed_mean,0.14435694746314273
distinctive_top5,compact_no_context_no_phase,num__speed_p90,0.12850395113964236
distinctive_top5,compact_no_context_no_phase,num__speed_diff_mean,0.12181674460708207
distinctive_top5,compact_no_context_no_phase,num__speed_range,0.10711982188957078
distinctive_top5,compact_no_context_no_phase,num__speed_max,0.10641542109955504
distinctive_top5,compact_no_context_no_phase,num__throttle_p90,0.10402523477039312
distinctive_top5,compact_no_context_no_phase,num__brake_max,0.0
distinctive_top5,compact_no_context_no_phase,num__brake_diff_abs_max,0.0
distinctive_top5,compact_no_context_no_phase,num__brake_p90,0.0
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_mean,1.045332494195683
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_zero_frac,1.0351946976019601
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_mid_frac,0.8912856678086781
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_diff_std,0.7666063357558796
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_diff_abs_mean,0.7150655885207781
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_full_frac,0.6871243677025897
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_std,0.5550957955569658
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_std,0.5252305323391258
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_active_frac,0.522561922079254
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_mean,0.522561922079254
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_diff_std,0.516432504119445
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_std,0.49639715165000325
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_p10,0.4734487524717986
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_diff_abs_mean,0.4729932044062275
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_median,0.45433520908430586
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_max,0.43694256132716996
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_diff_abs_max,0.43416272671038575
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_on_count,0.43095122329353464
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_diff_std,0.41763351889669337
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_p25,0.41678346482987366
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_diff_abs_mean,0.4051196281114508
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_mean,0.3996468048059553
distinctive_top6,compact_no_context_no_phase_no_speed,num__speed_diff_std,0.3890057230982724
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_low_frac,0.38766407678874976
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_min,0.3567106384467113
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_high_frac,0.3378967177951477
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_median,0.33532741561226237
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_mean,0.32803945711403243
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_diff_mean,0.324927370464913
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_min,0.31419626889130864
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_median,0.3028454141260262
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_cv,0.29601028152759007
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_std,0.27897066472413484
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_change_count,0.2555225791951579
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_max,0.23719261653611068
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_p75,0.21531371471343322
distinctive_top6,compact_no_context_no_phase_no_speed,num__speed_diff_abs_mean,0.21153823558251697
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_diff_abs_max,0.1798391480405127
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_max,0.16485969116332785
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_diff_mean,0.1560232426831036
distinctive_top6,compact_no_context_no_phase_no_speed,num__speed_diff_mean,0.1394101620091338
distinctive_top6,compact_no_context_no_phase_no_speed,num__speed_diff_abs_max,0.1344211117155941
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_p90,0.0944935345672268
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_p90,0.016086182704196133
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_max,0.0
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_diff_abs_max,0.0
