season,round,event_name,session_name,session_date,country,location,official_event_name,n_results_rows,n_laps_rows,n_unique_drivers_in_laps,lap_columns_count,results_columns_count,has_compound,has_tyre_life,has_track_status,has_is_personal_best,has_is_accurate,sample_lap_time_seconds_mean,laps_export_path,results_export_path,status
2018,1,Australian Grand Prix,Q,2018-03-24 06:00:00,Australia,Melbourne,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,20,287,20,37,26,True,True,True,True,True,97.62446733668342,exports\backfill_qr_raw_laps\2018_R01_Q_laps.csv,exports\backfill_qr_results\2018_R01_Q_results.csv,ok
2018,1,Australian Grand Prix,R,2018-03-25 05:10:00,Australia,Melbourne,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,20,940,20,37,26,True,True,True,True,True,93.25805763073636,exports\backfill_qr_raw_laps\2018_R01_R_laps.csv,exports\backfill_qr_results\2018_R01_R_results.csv,ok
2018,2,Bahrain Grand Prix,Q,2018-04-07 15:00:00,Bahrain,Sakhir,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,20,244,20,37,26,True,True,True,True,True,103.50174683544304,exports\backfill_qr_raw_laps\2018_R02_Q_laps.csv,exports\backfill_qr_results\2018_R02_Q_results.csv,ok
2018,2,Bahrain Grand Prix,R,2018-04-08 15:10:00,Bahrain,Sakhir,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,20,998,20,37,26,True,True,True,True,True,98.58259696969698,exports\backfill_qr_raw_laps\2018_R02_R_laps.csv,exports\backfill_qr_results\2018_R02_R_results.csv,ok
2018,3,Chinese Grand Prix,Q,2018-04-14 06:00:00,China,Shanghai,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,20,256,20,37,26,True,True,True,True,True,105.79007647058825,exports\backfill_qr_raw_laps\2018_R03_Q_laps.csv,exports\backfill_qr_results\2018_R03_Q_results.csv,ok
2018,3,Chinese Grand Prix,R,2018-04-15 06:10:00,China,Shanghai,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,20,1115,20,37,26,True,True,True,True,True,102.18700273972604,exports\backfill_qr_raw_laps\2018_R03_R_laps.csv,exports\backfill_qr_results\2018_R03_R_results.csv,ok
2018,4,Azerbaijan Grand Prix,Q,2018-04-28 13:00:00,Azerbaijan,Baku,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,20,313,20,37,26,True,True,True,True,True,115.9579,exports\backfill_qr_raw_laps\2018_R04_Q_laps.csv,exports\backfill_qr_results\2018_R04_Q_results.csv,ok
2018,4,Azerbaijan Grand Prix,R,2018-04-29 12:10:00,Azerbaijan,Baku,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,20,848,20,37,26,True,True,True,True,True,112.24794508670522,exports\backfill_qr_raw_laps\2018_R04_R_laps.csv,exports\backfill_qr_results\2018_R04_R_results.csv,ok
2018,5,Spanish Grand Prix,Q,2018-05-12 13:00:00,Spain,Barcelona,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,20,307,19,37,26,True,True,True,True,True,90.78655251141554,exports\backfill_qr_raw_laps\2018_R05_Q_laps.csv,exports\backfill_qr_results\2018_R05_Q_results.csv,ok
2018,5,Spanish Grand Prix,R,2018-05-13 13:10:00,Spain,Barcelona,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,20,1021,20,37,26,True,True,True,True,True,88.17775900000001,exports\backfill_qr_raw_laps\2018_R05_R_laps.csv,exports\backfill_qr_results\2018_R05_R_results.csv,ok
2018,6,Monaco Grand Prix,Q,2018-05-26 13:00:00,Monaco,Monte Carlo,FORMULA 1 GRAND PRIX DE MONACO 2018,20,386,19,37,26,True,True,True,True,True,85.60699671052632,exports\backfill_qr_raw_laps\2018_R06_Q_laps.csv,exports\backfill_qr_results\2018_R06_Q_results.csv,ok
2018,6,Monaco Grand Prix,R,2018-05-27 13:10:00,Monaco,Monte Carlo,FORMULA 1 GRAND PRIX DE MONACO 2018,20,1516,20,37,26,True,True,True,True,True,79.8577495042961,exports\backfill_qr_raw_laps\2018_R06_R_laps.csv,exports\backfill_qr_results\2018_R06_R_results.csv,ok
2018,7,Canadian Grand Prix,Q,2018-06-09 18:00:00,Canada,Montréal,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,20,291,19,37,26,True,True,True,True,True,82.6485,exports\backfill_qr_raw_laps\2018_R07_Q_laps.csv,exports\backfill_qr_results\2018_R07_Q_results.csv,ok
2018,7,Canadian Grand Prix,R,2018-06-10 18:10:00,Canada,Montréal,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,20,1219,20,37,26,True,True,True,True,True,79.43690542763159,exports\backfill_qr_raw_laps\2018_R07_R_laps.csv,exports\backfill_qr_results\2018_R07_R_results.csv,ok
2018,8,French Grand Prix,Q,2018-06-23 14:00:00,France,Le Castellet,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,20,332,20,37,26,True,True,True,True,True,107.74882071713148,exports\backfill_qr_raw_laps\2018_R08_Q_laps.csv,exports\backfill_qr_results\2018_R08_Q_results.csv,ok
2018,8,French Grand Prix,R,2018-06-24 14:10:00,France,Le Castellet,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,20,920,20,37,26,True,True,True,True,True,102.82034301675976,exports\backfill_qr_raw_laps\2018_R08_R_laps.csv,exports\backfill_qr_results\2018_R08_R_results.csv,ok
2018,9,Austrian Grand Prix,Q,2018-06-30 13:00:00,Austria,Spielberg,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,20,331,20,37,26,True,True,True,True,True,77.92119834710743,exports\backfill_qr_raw_laps\2018_R09_Q_laps.csv,exports\backfill_qr_results\2018_R09_Q_results.csv,ok
2018,9,Austrian Grand Prix,R,2018-07-01 13:10:00,Austria,Spielberg,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,20,1244,20,37,26,True,True,True,True,True,70.74509523809523,exports\backfill_qr_raw_laps\2018_R09_R_laps.csv,exports\backfill_qr_results\2018_R09_R_results.csv,ok
2018,10,British Grand Prix,Q,2018-07-07 13:00:00,Great Britain,Silverstone,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,20,264,19,37,26,True,True,True,True,True,101.44865680473372,exports\backfill_qr_raw_laps\2018_R10_Q_laps.csv,exports\backfill_qr_results\2018_R10_Q_results.csv,ok
2018,10,British Grand Prix,R,2018-07-08 13:10:00,Great Britain,Silverstone,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,20,902,20,37,26,True,True,True,True,True,100.98394407158835,exports\backfill_qr_raw_laps\2018_R10_R_laps.csv,exports\backfill_qr_results\2018_R10_R_results.csv,ok
2018,11,German Grand Prix,Q,2018-07-21 13:00:00,Germany,Hockenheim,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,20,286,20,37,26,True,True,True,True,True,89.72398009950248,exports\backfill_qr_raw_laps\2018_R11_Q_laps.csv,exports\backfill_qr_results\2018_R11_Q_results.csv,ok
2018,11,German Grand Prix,R,2018-07-22 13:10:00,Germany,Hockenheim,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,20,1252,20,37,26,True,True,True,True,True,83.21108000000001,exports\backfill_qr_raw_laps\2018_R11_R_laps.csv,exports\backfill_qr_results\2018_R11_R_results.csv,ok
2018,12,Hungarian Grand Prix,Q,2018-07-28 13:00:00,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,20,402,20,37,26,True,True,True,True,True,99.0693705882353,exports\backfill_qr_raw_laps\2018_R12_Q_laps.csv,exports\backfill_qr_results\2018_R12_Q_results.csv,ok
2018,12,Hungarian Grand Prix,R,2018-07-29 13:10:00,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,20,1233,20,37,26,True,True,True,True,True,85.05430162601625,exports\backfill_qr_raw_laps\2018_R12_R_laps.csv,exports\backfill_qr_results\2018_R12_R_results.csv,ok
2018,13,Belgian Grand Prix,Q,2018-08-25 13:00:00,Belgium,Spa-Francorchamps,FORMULA 1 2018 JOHNNIE WALKER BELGIAN GRAND PRIX,20,237,20,37,26,True,True,True,True,True,120.02356756756755,exports\backfill_qr_raw_laps\2018_R13_Q_laps.csv,exports\backfill_qr_results\2018_R13_Q_results.csv,ok
2018,13,Belgian Grand Prix,R,2018-08-26 13:10:00,Belgium,Spa-Francorchamps,FORMULA 1 2018 JOHNNIE WALKER BELGIAN GRAND PRIX,20,693,20,37,26,True,True,True,True,True,111.97046333853352,exports\backfill_qr_raw_laps\2018_R13_R_laps.csv,exports\backfill_qr_results\2018_R13_R_results.csv,ok
2018,14,Italian Grand Prix,Q,2018-09-01 13:00:00,Italy,Monza,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2018,20,284,20,37,26,True,True,True,True,True,94.00800970873787,exports\backfill_qr_raw_laps\2018_R14_Q_laps.csv,exports\backfill_qr_results\2018_R14_Q_results.csv,ok
2018,14,Italian Grand Prix,R,2018-09-02 13:10:00,Italy,Monza,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2018,20,927,20,37,26,True,True,True,True,True,88.63380972972973,exports\backfill_qr_raw_laps\2018_R14_R_laps.csv,exports\backfill_qr_results\2018_R14_R_results.csv,ok
2018,15,Singapore Grand Prix,Q,2018-09-15 13:00:00,Singapore,Singapore,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,20,269,20,37,26,True,True,True,True,True,116.2346424242424,exports\backfill_qr_raw_laps\2018_R15_Q_laps.csv,exports\backfill_qr_results\2018_R15_Q_results.csv,ok
2018,15,Singapore Grand Prix,R,2018-09-16 12:10:00,Singapore,Singapore,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,20,1146,20,37,26,True,True,True,True,True,109.12285059578367,exports\backfill_qr_raw_laps\2018_R15_R_laps.csv,exports\backfill_qr_results\2018_R15_R_results.csv,ok
2018,16,Russian Grand Prix,Q,2018-09-29 12:00:00,Russia,Sochi,FORMULA 1 2018 VTB RUSSIAN GRAND PRIX,20,232,20,37,26,True,True,True,True,True,108.38251063829787,exports\backfill_qr_raw_laps\2018_R16_Q_laps.csv,exports\backfill_qr_results\2018_R16_Q_results.csv,ok
2018,16,Russian Grand Prix,R,2018-09-30 11:10:00,Russia,Sochi,FORMULA 1 2018 VTB RUSSIAN GRAND PRIX,20,948,20,37,26,True,True,True,True,True,101.17933474128826,exports\backfill_qr_raw_laps\2018_R16_R_laps.csv,exports\backfill_qr_results\2018_R16_R_results.csv,ok
2018,17,Japanese Grand Prix,Q,2018-10-06 06:00:00,Japan,Suzuka,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,20,221,20,37,26,True,True,True,True,True,106.38947154471543,exports\backfill_qr_raw_laps\2018_R17_Q_laps.csv,exports\backfill_qr_results\2018_R17_Q_results.csv,ok
2018,17,Japanese Grand Prix,R,2018-10-07 05:10:00,Japan,Suzuka,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,20,977,20,37,26,True,True,True,True,True,100.65845829042226,exports\backfill_qr_raw_laps\2018_R17_R_laps.csv,exports\backfill_qr_results\2018_R17_R_results.csv,ok
2018,18,United States Grand Prix,Q,2018-10-20 21:00:00,United States,Austin,FORMULA 1 PIRELLI 2018 UNITED STATES GRAND PRIX,20,256,20,37,26,True,True,True,True,True,109.59998850574712,exports\backfill_qr_raw_laps\2018_R18_Q_laps.csv,exports\backfill_qr_results\2018_R18_Q_results.csv,ok
2018,18,United States Grand Prix,R,2018-10-21 18:10:00,United States,Austin,FORMULA 1 PIRELLI 2018 UNITED STATES GRAND PRIX,20,932,20,37,26,True,True,True,True,True,102.93924623655914,exports\backfill_qr_raw_laps\2018_R18_R_laps.csv,exports\backfill_qr_results\2018_R18_R_results.csv,ok
2018,19,Mexican Grand Prix,Q,2018-10-27 19:00:00,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE MÉXICO 2018,20,286,20,37,26,True,True,True,True,True,88.50324873096446,exports\backfill_qr_raw_laps\2018_R19_Q_laps.csv,exports\backfill_qr_results\2018_R19_Q_results.csv,ok
2018,19,Mexican Grand Prix,R,2018-10-28 19:10:00,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE MÉXICO 2018,20,1245,20,37,26,True,True,True,True,True,85.64042431561997,exports\backfill_qr_raw_laps\2018_R19_R_laps.csv,exports\backfill_qr_results\2018_R19_R_results.csv,ok
2018,20,Brazilian Grand Prix,Q,2018-11-10 17:00:00,Brazil,São Paulo,FORMULA 1 GRANDE PRÊMIO HEINEKEN DO BRASIL 2018,20,300,20,37,26,True,True,True,True,True,81.90445853658537,exports\backfill_qr_raw_laps\2018_R20_Q_laps.csv,exports\backfill_qr_results\2018_R20_Q_results.csv,ok
2018,20,Brazilian Grand Prix,R,2018-11-11 17:10:00,Brazil,São Paulo,FORMULA 1 GRANDE PRÊMIO HEINEKEN DO BRASIL 2018,20,1318,20,37,26,True,True,True,True,True,74.91394153378891,exports\backfill_qr_raw_laps\2018_R20_R_laps.csv,exports\backfill_qr_results\2018_R20_R_results.csv,ok
2018,21,Abu Dhabi Grand Prix,Q,2018-11-24 13:00:00,United Arab Emirates,Yas Marina,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,20,270,20,37,26,True,True,True,True,True,111.96407182320442,exports\backfill_qr_raw_laps\2018_R21_Q_laps.csv,exports\backfill_qr_results\2018_R21_Q_results.csv,ok
2018,21,Abu Dhabi Grand Prix,R,2018-11-25 13:10:00,United Arab Emirates,Yas Marina,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,20,943,20,37,26,True,True,True,True,True,107.93975482406356,exports\backfill_qr_raw_laps\2018_R21_R_laps.csv,exports\backfill_qr_results\2018_R21_R_results.csv,ok
2019,1,Australian Grand Prix,Q,2019-03-16 06:00:00,Australia,Melbourne,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,20,273,20,37,26,True,True,True,True,True,100.0680904255319,exports\backfill_qr_raw_laps\2019_R01_Q_laps.csv,exports\backfill_qr_results\2019_R01_Q_results.csv,ok
2019,1,Australian Grand Prix,R,2019-03-17 05:10:00,Australia,Melbourne,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,20,1041,20,37,26,True,True,True,True,True,90.42098265895952,exports\backfill_qr_raw_laps\2019_R01_R_laps.csv,exports\backfill_qr_results\2019_R01_R_results.csv,ok
2019,2,Bahrain Grand Prix,Q,2019-03-30 15:00:00,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,20,248,20,37,26,True,True,True,True,True,102.36383536585367,exports\backfill_qr_raw_laps\2019_R02_Q_laps.csv,exports\backfill_qr_results\2019_R02_Q_results.csv,ok
2019,2,Bahrain Grand Prix,R,2019-03-31 15:10:00,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,20,1083,20,37,26,True,True,True,True,True,100.3079101851852,exports\backfill_qr_raw_laps\2019_R02_R_laps.csv,exports\backfill_qr_results\2019_R02_R_results.csv,ok
2019,3,Chinese Grand Prix,Q,2019-04-13 06:00:00,China,Shanghai,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2019,20,240,19,37,26,True,True,True,True,True,108.30798101265825,exports\backfill_qr_raw_laps\2019_R03_Q_laps.csv,exports\backfill_qr_results\2019_R03_Q_results.csv,ok
2019,3,Chinese Grand Prix,R,2019-04-14 06:10:00,China,Shanghai,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2019,20,1046,20,37,26,True,True,True,True,True,100.89712045889102,exports\backfill_qr_raw_laps\2019_R03_R_laps.csv,exports\backfill_qr_results\2019_R03_R_results.csv,ok
2019,4,Azerbaijan Grand Prix,Q,2019-04-27 13:00:00,Azerbaijan,Baku,FORMULA 1 SOCAR AZERBAIJAN GRAND PRIX 2019,20,309,20,37,26,True,True,True,True,True,115.374200913242,exports\backfill_qr_raw_laps\2019_R04_Q_laps.csv,exports\backfill_qr_results\2019_R04_Q_results.csv,ok
2019,4,Azerbaijan Grand Prix,R,2019-04-28 12:10:00,Azerbaijan,Baku,FORMULA 1 SOCAR AZERBAIJAN GRAND PRIX 2019,20,948,20,37,26,True,True,True,True,True,110.16152330508474,exports\backfill_qr_raw_laps\2019_R04_R_laps.csv,exports\backfill_qr_results\2019_R04_R_results.csv,ok
2019,5,Spanish Grand Prix,Q,2019-05-11 13:00:00,Spain,Barcelona,FORMULA 1 EMIRATES GRAN PREMIO DE ESPAÑA 2019,20,277,20,37,26,True,True,True,True,True,91.01927472527474,exports\backfill_qr_raw_laps\2019_R05_Q_laps.csv,exports\backfill_qr_results\2019_R05_Q_results.csv,ok
2019,5,Spanish Grand Prix,R,2019-05-12 13:10:00,Spain,Barcelona,FORMULA 1 EMIRATES GRAN PREMIO DE ESPAÑA 2019,20,1276,20,37,26,True,True,True,True,True,87.44184355345911,exports\backfill_qr_raw_laps\2019_R05_R_laps.csv,exports\backfill_qr_results\2019_R05_R_results.csv,ok
2019,6,Monaco Grand Prix,Q,2019-05-25 13:00:00,Monaco,Monte Carlo,FORMULA 1 GRAND PRIX DE MONACO 2019,20,427,20,37,26,True,True,True,True,True,82.88523699421965,exports\backfill_qr_raw_laps\2019_R06_Q_laps.csv,exports\backfill_qr_results\2019_R06_Q_results.csv,ok
2019,6,Monaco Grand Prix,R,2019-05-26 13:10:00,Monaco,Monte Carlo,FORMULA 1 GRAND PRIX DE MONACO 2019,20,1490,20,37,26,True,True,True,True,True,80.58734654130289,exports\backfill_qr_raw_laps\2019_R06_R_laps.csv,exports\backfill_qr_results\2019_R06_R_results.csv,ok
2019,7,Canadian Grand Prix,Q,2019-06-08 18:00:00,Canada,Montréal,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2019,20,317,20,37,26,True,True,True,True,True,84.26139240506329,exports\backfill_qr_raw_laps\2019_R07_Q_laps.csv,exports\backfill_qr_results\2019_R07_Q_results.csv,ok
2019,7,Canadian Grand Prix,R,2019-06-09 18:10:00,Canada,Montréal,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2019,20,1312,20,37,26,True,True,True,True,True,78.02366946564885,exports\backfill_qr_raw_laps\2019_R07_R_laps.csv,exports\backfill_qr_results\2019_R07_R_results.csv,ok
2019,8,French Grand Prix,Q,2019-06-22 13:00:00,France,Le Castellet,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2019,20,309,20,37,26,True,True,True,True,True,109.00309049773756,exports\backfill_qr_raw_laps\2019_R08_Q_laps.csv,exports\backfill_qr_results\2019_R08_Q_results.csv,ok
2019,8,French Grand Prix,R,2019-06-23 13:10:00,France,Le Castellet,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2019,20,1037,20,37,26,True,True,True,True,True,97.77185907335908,exports\backfill_qr_raw_laps\2019_R08_R_laps.csv,exports\backfill_qr_results\2019_R08_R_results.csv,ok
2019,9,Austrian Grand Prix,Q,2019-06-29 13:00:00,Austria,Spielberg,FORMULA 1 MYWORLD GROSSER PREIS VON ÖSTERREICH 2019,20,314,20,37,26,True,True,True,True,True,78.38218385650224,exports\backfill_qr_raw_laps\2019_R09_Q_laps.csv,exports\backfill_qr_results\2019_R09_Q_results.csv,ok
2019,9,Austrian Grand Prix,R,2019-06-30 13:10:00,Austria,Spielberg,FORMULA 1 MYWORLD GROSSER PREIS VON ÖSTERREICH 2019,20,1401,20,37,26,True,True,True,True,True,70.58727123483227,exports\backfill_qr_raw_laps\2019_R09_R_laps.csv,exports\backfill_qr_results\2019_R09_R_results.csv,ok
2019,10,British Grand Prix,Q,2019-07-13 13:00:00,Great Britain,Silverstone,FORMULA 1 ROLEX BRITISH GRAND PRIX 2019,20,330,20,37,26,True,True,True,True,True,97.8914732510288,exports\backfill_qr_raw_laps\2019_R10_Q_laps.csv,exports\backfill_qr_results\2019_R10_Q_results.csv,ok
2019,10,British Grand Prix,R,2019-07-14 13:10:00,Great Britain,Silverstone,FORMULA 1 ROLEX BRITISH GRAND PRIX 2019,20,914,20,37,26,True,True,True,True,True,95.01930811403508,exports\backfill_qr_raw_laps\2019_R10_R_laps.csv,exports\backfill_qr_results\2019_R10_R_results.csv,ok
2019,11,German Grand Prix,Q,2019-07-27 13:00:00,Germany,Hockenheim,FORMULA 1 MERCEDES-BENZ GROSSER PREIS VON DEUTSCHLAND 2019,20,277,20,37,26,True,True,True,True,True,89.07064171122994,exports\backfill_qr_raw_laps\2019_R11_Q_laps.csv,exports\backfill_qr_results\2019_R11_Q_results.csv,ok
2019,11,German Grand Prix,R,2019-07-28 13:10:00,Germany,Hockenheim,FORMULA 1 MERCEDES-BENZ GROSSER PREIS VON DEUTSCHLAND 2019,20,1059,20,37,26,True,True,True,True,True,98.22149714285716,exports\backfill_qr_raw_laps\2019_R11_R_laps.csv,exports\backfill_qr_results\2019_R11_R_results.csv,ok
2019,12,Hungarian Grand Prix,Q,2019-08-03 13:00:00,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,20,293,20,37,26,True,True,True,True,True,88.62082412060302,exports\backfill_qr_raw_laps\2019_R12_Q_laps.csv,exports\backfill_qr_results\2019_R12_Q_results.csv,ok
2019,12,Hungarian Grand Prix,R,2019-08-04 13:10:00,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,20,1358,20,37,26,True,True,True,True,True,83.52930854197348,exports\backfill_qr_raw_laps\2019_R12_R_laps.csv,exports\backfill_qr_results\2019_R12_R_results.csv,ok
2019,13,Belgian Grand Prix,Q,2019-08-31 13:00:00,Belgium,Spa-Francorchamps,FORMULA 1 JOHNNIE WALKER BELGIAN GRAND PRIX 2019,20,242,20,37,26,True,True,True,True,True,117.54850427350426,exports\backfill_qr_raw_laps\2019_R13_Q_laps.csv,exports\backfill_qr_results\2019_R13_Q_results.csv,ok
2019,13,Belgian Grand Prix,R,2019-09-01 13:10:00,Belgium,Spa-Francorchamps,FORMULA 1 JOHNNIE WALKER BELGIAN GRAND PRIX 2019,20,787,20,37,26,True,True,True,True,True,112.10270547945208,exports\backfill_qr_raw_laps\2019_R13_R_laps.csv,exports\backfill_qr_results\2019_R13_R_results.csv,ok
